title,author,genre,length_category
J.R.R. Tolkien,Wayne G. Hammond;Christina Scull,Art,average
The Heart is a Lonely Hunter,Carson McCullers,Fiction,average
Once a Wolf,Stephen R. Swinburne;Jim Brandenburg,Juvenile Nonfiction,short
Stern Men,Elizabeth Gilbert,Fiction,average
Colter,Rick Bass,Biography & Autobiography,average
Chimera,John Barth,Fiction,average
Henry Adams and the Making of America,Garry Wills;Pulitzer Prize-Winning Journalist and Historian Garry Wills,Biography & Autobiography,long
Nixon Agonistes,Garry Wills,Biography & Autobiography,long
The Lord of the Rings,J. R. R. Tolkien,Fiction,long
Hear the Wind Blow,Mary Downing Hahn,Juvenile Fiction,average
Midnight is a Place,Joan Aiken,Juvenile Fiction,average
Silent Spring,Rachel Carson,Nature,average
The Best American Sports Writing 2003,Glenn Stout;Buzz Bissinger,Sports & Recreation,average
Two of Us,Peter Smith,Biography & Autobiography,average
Queen of Scots,John Alexander Guy,History,long
Inventing America,Garry Wills,History,long
The Lord of the Rings,Jude Fisher,Fiction,short
The Lord of the Rings,Brian Sibley,Performing Arts,short
"The Hobbit, Or, There and Back Again",John Ronald Reuel Tolkien,Juvenile Fiction,average
The Lord of the Rings,John Ronald Reuel Tolkien,Fiction,long
The Best American Mystery Stories 2004,Nelson DeMille;Otto Penzler,Fiction,long
Fergus and the Night-Demon,Jim Murphy,Juvenile Fiction,short
The Fellowship of the Ring,J. R. R. Tolkien,Fiction,average
The Hermit's Story,Rick Bass,Fiction,short
The Lord of the Rings,Chris Smith,Literary Criticism,average
JRR Tolkien Companion & Guide,Christina Scull;Wayne G. Hammond,Literary Criticism,long
The Maps of Tolkien's Middle-earth,Brian Sibley,Fiction,short
Understanding the Lord of the Rings,Neil D. Isaacs;Rose A. Zimbardo,Literary Criticism,average
Dunk,David Lubar,Juvenile Fiction,average
The Bake Shop Ghost,Jacqueline K. Ogburn;Marjorie Priceman,Juvenile Fiction,short
Reefer Madness,Eric Schlosser,Business & Economics,average
The Last Shot,Darcy Frey,Sports & Recreation,average
Dark Star Safari,Paul Theroux,Travel,long
The Best American Sports Writing 2006,Glenn Stout;Michael Lewis,Sports & Recreation,long
"Since 1500, Chapters 15-30",Richard W. Bulliet,Science,short
Trip to the North Pole,Ellen Weiss;Robert Zemeckis;William Broyles;Chris Van Allsburg,Fiction,short
Fun Home,Alison Bechdel,Biography & Autobiography,average
"Natural Health, Natural Medicine",Andrew Weil,Health & Fitness,long
The Namesake,Jhumpa Lahiri,Fiction,average
Entre Amis,Michael Oates;Larbi Oukada,Foreign Language Study,long
The Lord of the Rings Complete Visual Companion,Jude Fisher,Fiction,average
The Heart is a Lonely Hunter,Carson McCullers,Fiction,average
Firefighters in the Dark,Dashka Slater;Nicoletta Ceccoli,Juvenile Fiction,short
Tolkien And The Great War,John Garth,Biography & Autobiography,average
The Two Towers,John Ronald Reuel Tolkien,Fiction,long
The Lord of the Rings: The return of the king,John Ronald Reuel Tolkien,Fantasy fiction,long
The Best American Travel Writing 2006,Tim Cahill;Jason Wilson,Travel,average
The Best American Spiritual Writing 2006,Philip Zaleski,Literary Collections,average
The Polar Express,Chris Van Allsburg,Juvenile Fiction,short
Mcdougal Littell Science,James Trefil;Houghton Mifflin Company;Rita Ann Calvo;Kenneth Cutler,Juvenile Nonfiction,long
Bury the Chains,Adam Hochschild,History,long
The Ancestor's Tale,Richard Dawkins;Yan Wong,Science,long
The Lord of the Rings Sketchbook,Alan Lee,Art,short
Gossamer,Lois Lowry,Juvenile Fiction,short
In the Lake of the Woods,Tim O'Brien,Fiction,average
Chew on this,Eric Schlosser;Charles Wilson,Juvenile Nonfiction,average
The Diezmo,Rick Bass,Fiction,average
Three Nights in August,H. G. Bissinger;Buzz Bissinger,Sports & Recreation,average
Extremely Loud and Incredibly Close,Jonathan Safran Foer,Fiction,average
The Hungry Tide,Amitav Ghosh,Fiction,average
King Leopold's Ghost,Adam Hochschild,History,average
The Chosen,Jerome Karabel,Education,long
Children of Húrin,John Ronald Reuel Tolkien,Fiction,average
The Ideology of the Aesthetic,Terry Eagleton,Literary Criticism,long
On Certainty,Ludwig Wittgenstein,Philosophy,short
Western Philosophy,John G. Cottingham,Philosophy,long
Liberals and Communitarians,Stephen Mulhall;Adam Swift,Political Science,average
Philosophical Investigations,Ludwig Wittgenstein,Philosophy,long
Michael W. Smith,Michael W. Smith,Music,short
"The Mystery of the Ancient Pyramid (Cairo, Egypt)",Carole Marsh,Juvenile Fiction,short
The Gospel According to Tolkien,Ralph C. Wood,Literary Criticism,short
That Godless Court?,Ronald Bruce Flowers,Religion,average
Luther and Erasmus,Ernest Gordon Rupp;Philip Saville Watson,Religion,average
The New Spirit,Havelock Ellis,,long
Self-made Man,Norah Vincent,Social Science,average
Swapping Lives,Jane Green,Fiction,long
The Roald Dahl Treasury,Roald Dahl,Juvenile Fiction,long
Mayflower,Nathaniel Philbrick,History,long
Special Topics in Calamity Physics,Marisha Pessl,Fiction,long
Helen of Troy,Margaret George,Fiction,long
Dust,Martha Grimes,Fiction,average
The Mistress's Daughter,A. M. Homes,Biography & Autobiography,average
Vinyl Cafe Diaries,Stuart McLean,Canada,average
Death of a Salesman,Arthur Miller,Fiction,short
Spycatcher,Peter Wright,Espionage,average
The Adventures of Pippi Longstocking,Astrid Lindgren;Michael Chesworth,Juvenile Fiction,average
Haroun and the Sea of Stories,Salman Rushdie,Fiction,average
Matthew Flinders' Cat,Bryce Courtenay,Alcoholics,long
Artemis Fowl,Eoin Colfer,Children's stories,average
In the Shadow of No Towers,Art Spiegelman,Graphic novels,short
Echo Platoon,Richard Marcinko;John Weisman,Fiction,long
Pieces,Stephen Chbosky,Fiction,short
The Law of Enclosures,Dale Peck,Fiction,average
You Belong To Me,Mary Higgins Clark,Fiction,average
Runaways,V.C. Andrews,Fiction,average
Private Parts,Howard Stern;John D. Simons,Biography & Autobiography,long
My Gal Sunday,Mary Higgins Clark,Fiction,average
The Millionaire Next Door,Thomas J. Stanley;William D. Danko,Biography & Autobiography,average
The Tenth Man,Graham Greene,Fiction,short
The Gun Seller,Hugh Laurie,Fiction,average
She's Come Undone,Wally Lamb,Fiction,long
Morgan's Run,Colleen McCullough,Fiction,long
The October Horse,Colleen McCullough,Fiction,long
Bag of Bones,Stephen King,Fiction,long
Wither,J G Passarella,Fiction,long
The Last Dance,Ed McBain,Fiction,average
The Empty Chair,Jeffery Deaver,Fiction,long
Clive Cussler and Dirk Pitt Revealed,Clive Cussler;Craig Dirgo,Fiction,long
All Through the Night,Mary Higgins Clark,Fiction,average
The Fuck Up,Arthur Nersesian,Fiction,average
How to Stop Worrying and Start Living,Dale Carnegie,Psychology,average
Present Tense,L. A. Graf,Fiction,average
Carrie,Stephen King,Fiction,average
Salem's Lot,Stephen King,Fiction,long
Ice,V. C. Andrews,Fiction,average
The Living Blood,Tananarive Due,Fiction,long
Diablo: Legacy of Blood,Richard A. Knaak,Fiction,average
The Girl Who Loved Tom Gordon,Stephen King,Fiction,average
Venice: Lion City,Garry Wills,History,long
Uncle Shelby'S Abz Book,Shel Silverstein,Education,short
Confessions of an Actor,Laurence Oliver,Performing Arts,average
"Soldier, general of the army, president-elect, 1890-1952",Stephen E. Ambrose,Biography & Autobiography,long
The Bluest Eye,Toni Morrison,African Americans,short
Mornings on Horseback,David McCullough,Biography & Autobiography,long
Sweet and Low,Emma Lathen,Fiction,short
The Canterbury Tales of Geoffrey Chaucer,"Simon & Schuster, Limited",Poetry,average
Guilty as Charged,Scott Turow,Fiction,short
The Night Awakens,Mary Higgins Clark,Fiction,average
The Leader In You,Dale Carnegie,Self-Help,average
Sharp Edges,Jayne Ann Krentz,Fiction,average
Harvest,Tess Gerritsen,Fiction,average
Life Support,Tess Gerritsen,Fiction,average
Alien Stars,"C. J. Cherryh;Haldeman, Joe W;Mitchell, Elizabeth;Zahn, Timothy",Fiction,average
Orchid,Jayne Castle,Fiction,average
The Man Who Sold The Moon,Robert A. Heinlein,Fiction,average
Teach Your Child to Read in 100 Easy Lessons,Siegfried Engelmann;Phyllis Haddox;Elaine Bruner,Education,average
Field Guide to Home Buying in America,Stephen M. Pollan;Mark Levine,Business & Economics,average
Wind Child,Nancy Harding,Fiction,average
Anne Frank Remembered,Miep Gies;Alison Leslie Gold,History,average
Ghost Story,Peter Straub,Fiction,long
Blue World,Robert R. McCammon,Fiction,long
Cyclops,Clive Cussler,Fiction,long
The Seven Habits of Highly Effective People,Stephen R. Covey,Business & Economics,average
A Cast of Corbies,Josepha Sherman;Mercedes Lackey,Fiction,average
Shakespeare's Sonnets,Helen Hunt;William Shakespeare,Drama,average
The Color Purple,Alice Walker,Fiction,average
Night of the Fox,Jack Higgins,Fiction,average
Wolf's Hour,Robert McCammon,Fiction,long
Journey To Ixtlan,Carlos Castaneda,"Body, Mind & Spirit",average
Second Ring of Power,Carlos Castaneda,Fiction,average
Power of Silence,Carlos Castaneda,Fiction,average
Fire from Within,Carlos Castaneda,"Body, Mind & Spirit",average
Tales of Power,Carlos Castaneda,Fiction,average
STINGER,Robert McCammon,Fiction,long
The Story of Philosophy,Will Durant,Biography & Autobiography,long
Swan Song,Robert McCammon,Fiction,long
Long Dark Tea-Time of the Soul,Douglas Adams,Fiction,average
Boy's Life,Robert McCammon,Fiction,long
Joy Within,Joan Goldstein;Manuela Soares,"Body, Mind & Spirit",short
Mystery Walk,Robert R. McCammon,Fiction,long
Justine,Lawrence Durrell,,average
The Hidden Persuaders,Vance Packard,Advertising,average
Best Stories,Hugh Garner,,long
Principle Centered Leadership,Stephen R. Covey,Business & Economics,average
In the Name of Love,Ann Rule,Literary Criticism,long
Star Trek: The Next Generation: Nightshade,Laurell K. Hamilton,Fiction,average
Scar Lover,Harry Crews,Fiction,average
End zone,Don DeLillo,Fiction,average
The Good Earth,Pearl Sydenstricker Buck,China,average
Star Trek,Alan Dean Foster,,long
Lincoln at Gettysburg,Garry Wills,History,average
Forever After,Roger Zelazny,Fiction,average
The Ship Avenged,S. M. Stirling,Fiction,average
The Free Bards,Lackey,Fiction,long
Berserkers,Fred Saberhagen,Fiction,average
What Jane Austen Ate and Charles Dickens Knew,Daniel Pool,Education,long
Daily Reflections for Highly Effective People,Stephen R. Covey,Business & Economics,average
Seamus Heaney,Helen Hennessy Vendler,Literary Criticism,average
American Tragedy,David E. Kaiser,History,long
This Craft of Verse,Jorge Luis Borges;Calin Andrei Mihailescu,Literary Criticism,short
The Gardens of Emily Dickinson,Judith FARR;Louise Carter,Architecture,average
Rebecca's Revival,Jon F Sensbach,Biography & Autobiography,average
The Writer of Modern Life,Walter Benjamin,Literary Criticism,average
Iron Kingdom,"Christopher M. Clark;University Christopher Clark, MD",History,long
Ancilla to the Pre-Socratic Philosophers,Mary Fitt;Kathleen Freeman,Philosophy,short
Doubling the Point,Professor of General Literature J M Coetzee;J. M. Coetzee,Literary Criticism,long
Ethics and the Limits of Philosophy,Bernard Williams,Philosophy,average
The Ethics of Authenticity,Charles Taylor,Philosophy,short
The Fate of Reason,Frederick C. Beiser,Philosophy,long
"New Worlds, Ancient Texts",Anthony Grafton;Nancy G. Siraisi;April Shelford,History,average
The Art of Shakespeare's Sonnets,Helen Vendler,Literary Criticism,long
Origins of the Modern Mind,Merlin Donald,Medical,long
Playing in the Dark,Toni Morrison,Literary Criticism,short
The Principles of Psychology,William James,Psychology,long
The Roman Empire,Colin Michael Wells,History,average
Sex and Reason,Richard A. POSNER,Law,long
"Sor Juana, Or, The Traps of Faith",Octavio Paz,Literary Criticism,long
Sources of the Self,Charles Taylor,Philosophy,long
Summer for the Gods,,Law,average
"Time's Arrow, Time's Cycle",Stephen Jay Gould,Science,average
The Visible Hand,Alfred D. Chandler Jr.,Business & Economics,long
Wittgenstein on Rules and Private Language,Saul A. Kripke,Philosophy,short
"The World, the Text, and the Critic",Edward W. Said,Literary Criticism,average
De officiis,Marcus Tullius Cicero;Walter Miller,Fiction,long
Metamorphoses,Publius Ovidius Naso (Dichter),"Mythology, Classical",long
Metamorphoses,Ovid,Science,long
Plato in twelve volumes,Plato,Literary Criticism,long
History of the Peloponnesian War,Thucydides,History,long
Hiero,Xenophon,Electronic books,long
Cicero in Twenty-eight Volumes,Marcus Tullius Cicero,"Consuls, Roman",average
Epictetus,Epictetus,Philosophy,long
"The Art of Love, and Other Poems",Ovid,Love poetry,average
"Plato, with an English Translation",Plato,"Philosophy, Ancient",average
Babrius and Phaedrus,Babrius;Phaedrus;Ben Edwin Perry,Biography & Autobiography,long
Αλκηστισ,Euripides,Alcestis (Greek mythology),long
Fragmenta,Plutarcus;Ευριπιδες,Literary Criticism,long
Hesiod,Hesiodtus,Agriculture,long
Never Let Me Go,Kazuo Ishiguro,Boarding school-fiction,average
Gift from the Sea,,Biography & Autobiography,short
Doctor Faustus,Thomas Mann,Fiction,long
Toni Morrison,Toni Morrison,African Americans,average
The Aeneid,Virgil,Poetry,long
If on a Winter's Night a Traveler,Italo Calvino;William Weaver,Fiction,average
The Stranger,Albert Camus;Matthew Ward,Fiction,short
Crime and Punishment,Fyodor Dostoyevsky,Fiction,long
Selected Short Stories of William Faulkner,William Faulkner,Fiction,average
The Complete Collected Poems of Maya Angelou,Maya Angelou,Poetry,average
The Sword of Honour Trilogy,Evelyn Waugh,Fiction,long
Gargantua and Pantagruel,François Rabelais,Fiction,long
In the Kitchen with Rosie,Rosie Daley,Cooking,short
Rabbit Angstrom,John Updike,Fiction,long
A fine balance,Rohinton Mistry,Fiction,long
The Sibley Field Guide to Birds of Western North America,,Nature,long
Swann's Way,Marcel Proust,Fiction,long
The Sound and the Fury,William Faulkner,Fiction,average
Stars in Their Courses,Shelby Foote,History,average
The Poetry and Short Stories of Dorothy Parker,Dorothy Parker,Poetry,long
Fear and Loathing in Las Vegas and Other American Stories,Hunter S. Thompson,Biography & Autobiography,average
"Blood Meridian, Or, The Evening Redness in the West",Cormac McCarthy,Fiction,average
"In Search of Lost Time, Volume IV",Marcel Proust,Fiction,average
The Red and the Black,Stendhal,Fiction,long
The Killer Angels,Michael Shaara,Fiction,average
The Collected Autobiographies of Maya Angelou,Maya Angelou,Biography & Autobiography,long
The Murders in the Rue Morgue,Edgar Allan Poe,Fiction,short
Darkness Visible,William Styron,Biography & Autobiography,short
The Fall,Albert Camus,Fiction,short
Hiroshima,John Hersey,History,short
Mama Day,Gloria Naylor,Fiction,average
Where I'm Calling from,Raymond Carver,Fiction,long
Running Dog,Don DeLillo,Fiction,average
The Names,Don DeLillo,Fiction,average
What We Talk about when We Talk about Love,Raymond Carver,Fiction,short
Gideon's Trumpet,Anthony Lewis,History,average
Invisible Man,Ralph Ellison,African American men,long
Lolita,Vladimir Vladimirovich Nabokov,Fiction,average
Cathedral,Raymond Carver,Fiction,average
The History of Sexuality,Michel Foucault,Sex customs,short
"I, Claudius",Robert Graves,Fiction,long
"No Exit, and Three Other Plays",Jean-Paul Sartre,Drama,average
"Ada, Or, Ardor, a Family Chronicle",Vladimir Vladimirovich Nabokov,Fiction,long
Aké,Wole Soyinka,Biography & Autobiography,average
Strong Opinions,Vladimir Vladimirovich Nabokov,Literary Collections,average
Mary,Владимир Владимирович Набоков,Fiction,short
The Complete Monty Python's Flying Circus,Graham Chapman;Monty Python (Comedy troupe);Terry Gilliam;Eric Idle;Terry Jones,Humor,average
The Defense,Vladimir Vladimirovich Nabokov;Michael Scammell,Fiction,average
The Eye,Владимир Владимирович Набоков,Fiction,short
The Annotated Lolita,Владимир Владимирович Набоков;Vladimir Vladimirovich Nabokov,Fiction,long
Maus II,Art Spiegelman,Biography & Autobiography,short
The Best of Roald Dahl,Roald Dahl,Fiction,long
The Stories of Vladimir Nabokov,Vladimir Vladimirovich Nabokov,Fiction,long
Hit Men,Fredric Dannen,Business & Economics,long
A Year in Provence,Peter Mayle,Provence (France),average
The Origin of Satan,Elaine Pagels,Religion,average
A History of the World in 10 1/2 Chapters,Julian Barnes,Fiction,average
"Go Down, Moses",William Faulkner,Fiction,average
Light in August,William Faulkner,Fiction,long
Chilly Scenes of Winter,Ann Beattie,Fiction,average
Shoot the Piano Player,David Goodis,Fiction,short
The Beggar Maid,Alice Munro,Fiction,average
A Midwife's Tale,Laurel Ulrich,Biography & Autobiography,long
The Woman in the Dunes,Kōbō Abe,Fiction,average
The Rebel,Albert Camus,Philosophy,average
The Art of Fiction,John Gardner,Language Arts & Disciplines,average
Success,Martin Amis,Fiction,average
Dead Babies,Martin Amis,Fiction,average
Crime and Punishment,Fyodor Dostoyevsky,Fiction,long
Hype and Glory,William Goldman,Performing Arts,average
The Heidi Chronicles and Other Plays,Wendy Wasserstein,Drama,average
Dispatches,Michael Herr,History,average
Touching the Rock,John M. Hull,Biography & Autobiography,average
American Psycho,Bret Easton Ellis,Fiction,average
The Unconsoled,Kazuo Ishiguro,Fiction,long
"Last Tales: The cardinal's first tale ; The cloak ; Night walk ; Of hidden thoughts and of heaven ; Tales of two old gentlemen ; The cardinal's third tale ; The blank page ; New Gothic Tales: The cyratids, an unfinished tale ; Echoes ; New Winter's tales: A country tale ; Copenhagen season ; Converse at night in Copenhagen",Karen Blixen,,average
The Hamlet,William Faulkner,Fiction,long
Athena,John Banville,Fiction,average
The Radicalism of the American Revolution,Gordon S. Wood,History,long
Mortals,Norman Rush,Fiction,long
Selected Speeches and Writings,Abraham Lincoln,History,long
"Caramelo, Or, Puro Cuento",Sandra Cisneros,Fiction,long
Written on the Body,Jeanette Winterson,Fiction,short
After Henry,Joan Didion,Fiction,average
The grass harp,Truman Capote,Fiction,average
"Other Voices, Other Rooms",Truman Capote,Fiction,average
Sanctuary,William Faulkner,Fiction,average
The Great American Novel,Philip Roth,Fiction,long
The Comfort of Strangers,Ian McEwan,Fiction,short
"Asa, as I Knew Him",Susanna Kaysen,Fiction,short
The Death of Virgil,Hermann Broch,Fiction,long
The Son Avenger,Sigrid Undset,Fiction,average
When I was Puerto Rican,Esmeralda Santiago,Biography & Autobiography,average
When She was Good,Philip Roth,Fiction,average
In Pharaoh's Army,Tobias Wolff,Biography & Autobiography,average
Snow Country,Yasunari Kawabata,Fiction,short
Beauty and Sadness,Yasunari Kawabata,Fiction,average
Blues for Mister Charlie,James Baldwin,Drama,short
Aman,Virginia Lee Barnes,Biography & Autobiography,average
Thousand Cranes,川端康成,Fiction,short
Encore Provence,Peter Mayle,Travel,average
Art & Lies,Jeanette Winterson,Fiction,average
The Camera My Mother Gave Me,Susanna Kaysen,Biography & Autobiography,short
Corelli's Mandolin,Louis De Bernières,Fiction,long
"Resistance, Rebellion, and Death",Albert Camus,Fiction,average
Letting Go,Philip Roth,Fiction,long
The Simple Truth,Philip Levine,Poetry,short
Walt Whitman's America,David S. Reynolds,Biography & Autobiography,long
Selected Stories,Andre Dubus,Fiction,long
"South of the Border, West of the Sun",Haruki Murakami,Fiction,average
The Untouchable,John Banville,Fiction,average
Psycho Shop,Alfred Bester & Roger Zelazny,Fiction,average
A civil action,Jonathan Harr,Law,long
The Grotesque,Patrick McGrath,Fiction,short
The Road to Reality,Roger Penrose,Science,long
Birdsong,Sebastian Faulks,Fiction,long
The Living and the Dead,Paul Hendrickson,History,long
The Rules of Attraction,Bret Easton Ellis,Fiction,average
Less Than Zero,Bret Easton Ellis,Fiction,average
The Charterhouse of Parma,Stendhal,Fiction,long
Basic Writings of Nietzsche,Friedrich Wilhelm Nietzsche,Philosophy,long
Shalimar the Clown,Salman Rushdie,Fiction,average
In the Land of White Death,Valerian Ivanovich Alʹbanov,Biography & Autobiography,average
Fear and Loathing in Las Vegas,Hunter S. Thompson,Biography & Autobiography,average
In the Hand of the Goddess,Tamora Pierce,Juvenile Fiction,average
P.J. Funnybunny Camps Out,Marilyn Sadler,Juvenile Fiction,short
Junie B. Jones and a Little Monkey Business,Barbara Park,Juvenile Fiction,short
Ballet Shoes,Noel Streatfeild,Juvenile Fiction,average
"Dear God, Help!!! Love, Earl",Barbara Park,Juvenile Fiction,short
Theater Shoes,Noel Streatfeild,Juvenile Fiction,average
Daisy-head Mayzie,Dr. Seuss,Juvenile Fiction,short
Dr. Seuss's ABC,Dr. Seuss,Juvenile Fiction,short
The Berenstain Bears and the Blame Game,Stan Berenstain;Jan Berenstain,Juvenile Fiction,short
The Little Butterfly,,Juvenile Nonfiction,short
The Lorax,Dr. Seuss,Juvenile Fiction,short
Three Tales of My Father's Dragon,,Juvenile Fiction,average
The Trail of Tears,Joseph Bruchac;Diana Magnuson,Juvenile Nonfiction,short
Earthquake in the Early Morning,Mary Pope Osborne,Juvenile Fiction,short
The Cat in the Hat,Dr. Seuss,Juvenile Fiction,short
Leaves of Grass,Walt Whitman,American poetry,short
The More Than Complete Hitchhiker's Guide,Douglas Adams,Fiction,long
Every Night Italian,Giuliano Hazan,Cooking,average
"The Metamorphosis, in the Penal Colony and Other Stories",Franz Kafka,Fiction,average
The Great Gatsby,Francis Scott Fitzgerald,Computers,average
A Life in Letters,F. Scott Fitzgerald,Biography & Autobiography,long
The Pat Hobby Stories,F. Scott Fitzgerald,Fiction,short
The Short Stories of F. Scott Fitzgerald,F. Scott Fitzgerald,Fiction,long
The Garden of Eden,Ernest Hemingway,Fiction,average
American writers,Gale Group,Biography & Autobiography,average
"Janet, My Mother, and Me",William Murray,Biography & Autobiography,average
Achilles in Vietnam,Jonathan Shay,Psychology,average
John Adams,David McCullough,Biography & Autobiography,long
The Making of the Atomic Bomb,Richard Rhodes,History,long
Mere Christianity,C. S. Lewis,Religion,short
Italians,Luigi Barzini,History,average
The Promise of Rest,Reynolds Price,Fiction,average
The Reawakening,Primo Levi,Biography & Autobiography,average
Survival In Auschwitz,Primo Levi,Biography & Autobiography,short
Three case histories,Sigmund Freud;Philip Rieff,Psychology,average
The Sun Also Rises,Ernest Hemingway,Fiction,average
Touched With Fire,Kay Redfield Jamison,Psychology,average
The Denial of Death,Ernest Becker,Philosophy,average
A Calendar of Wisdom,Leo Tolstoy,Religion,average
Good as Gold,Joseph Heller,Fiction,long
Tolkien,David Day,Fiction,average
Something Happened,Joseph Heller,Fiction,long
God Knows,Joseph Heller,Fiction,average
On Death and Dying,Elisabeth Kübler-Ross,Family & Relationships,average
The Short Stories of F. Scott Fitzgerald,F. Scott Fitzgerald;Matthew Joseph Bruccoli,Fiction,long
"Two Girls, Fat and Thin",Mary Gaitskill,Fiction,average
The Complete Short Stories Of Ernest Hemingway,Ernest Hemingway,Fiction,long
Soul of the Sword,Robert L. O'Connell,Technology & Engineering,average
Across the River and Into the Trees,Ernest Hemingway,Fiction,average
Unlimited Power,Tony Robbins,Self-Help,long
Tearing the Silence,Ursula Hegi,Social Science,average
The Wheel of Life,Elisabeth Kübler-Ross,Biography & Autobiography,average
Kate Vaiden,Reynolds Price,Fiction,average
Underworld,Don DeLillo,Fiction,long
Ronald Reagan,Dinesh D'Souza,Biography & Autobiography,average
The Children's Book of America,William J. Bennett;Michael Hague,Fiction,short
The Secret Diary of Anne Boleyn,Robin Maxwell,Fiction,average
The Fall of a Sparrow,Robert Hellenga,Fiction,long
The Walrus Was Paul,R. Gary Patterson,Music,average
Close Range,Annie Proulx,Fiction,average
The Last Temptation of Christ,Nikos Kazantzakis,Fiction,long
Shadow,Bob Woodward,History,long
Hamlet's Dresser,Bob Smith,Biography & Autobiography,average
Out of the Woods,Chris Offutt,Fiction,short
Merde!,Genevieve,Foreign Language Study,short
Merde Encore!,Genevieve,Foreign Language Study,short
Mad Cowboy,Howard F. Lyman;Glen Merzer,Health & Fitness,average
The Noonday Demon,Andrew Solomon,Psychology,long
Cryptozoology A To Z,Loren Coleman;Jerome Clark,Nature,average
The Rum Diary,Hunter S. Thompson,Fiction,average
Easy Riders Raging Bulls,Peter Biskind,Performing Arts,long
To Have and Have Not,Ernest Hemingway,Fiction,short
No Heroes,Chris Offutt,Biography & Autobiography,average
Jukebox Queen Of Malta,Nicholas Rinaldi,Fiction,average
Yesterday I Cried,Iyanla Vanzant,Self-Help,average
Of Time and the River,Thomas Wolfe,Fiction,long
Picture This,Joseph Heller,Fiction,average
The Mutineer,Hunter S. Thompson,Biography & Autobiography,long
Hey Rube,Hunter S. Thompson,Literary Collections,average
Screwjack,Hunter S. Thompson,Fiction,short
Exclusion and Embrace,Miroslav Volf,Religion,average
The Merlin Trilogy,Mary Stewart,Fiction,long
Karate is a Thing of the Spirit,Harry Crews,Fiction,average
Leadership and the One Minute Manager,Ken Blanchard;Patricia Zigarmi;Drea Zigarmi,Business & Economics,short
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Essentialism (Philosophy),long
A Short History of World War II,James L. Stokesbury,History,long
Worlds enough and time,Joe Haldeman;Joe W. Haldeman,Fiction,average
The first man in Rome,Colleen McCullough,Fiction,long
Ten Days to Self-Esteem,David D. Burns,Self-Help,average
Korean Short History,James L. Stokesbury,History,average
Trapped in T Mirror,Elan Golomb,Family & Relationships,average
"Julius, the Baby of the World",Kevin Henkes,Juvenile Fiction,short
The Twelve Dancing Princesses,Marianna Mayer,Juvenile Fiction,short
Love Poems,Nikki Giovanni,Poetry,short
Behind a Mask,Louisa May Alcott,Fiction,average
NYC Ballet Workout,Peter Martins,Health & Fitness,average
Kevin Trudeau's Mega Memory,Kevin Trudeau,Self-Help,average
Chester's Way,Kevin Henkes,Juvenile Fiction,short
The Purpose of Your Life,Carol Adrienne,"Body, Mind & Spirit",average
Naked Pictures of Famous People,Jon Stewart,Humor,short
Phantoms in the Brain,V. S. Ramachandran,Medical,average
The Lost Tomb,Kent R. Weeks,Social Science,average
Cloudy With a Chance of Meatballs,Judi Barrett,Juvenile Fiction,short
The Bears on Hemlock Mountain,Alice Dalgliesh,Juvenile Fiction,short
The Fourth of July Story,Alice Dalgliesh,Juvenile Nonfiction,short
My Name Is Maria Isabel,Alma Flor Ada;Ana M. Cerro,Juvenile Fiction,short
Hitty Her First Hundred Years,Rachel Field,Juvenile Fiction,average
A Child's Garden of Verses,Robert Louis Stevenson,Juvenile Fiction,short
Sad Underwear and Other Complications,Judith Viorst,Juvenile Nonfiction,short
Salt in His Shoes,Deloris Jordan;Roslyn M. Jordan,Juvenile Nonfiction,short
Where Is Baby's Mommy?,Karen Katz,Juvenile Nonfiction,short
Poppy,Avi,Children's stories,short
Silver on the Tree,Susan Cooper,Juvenile Fiction,average
The Tombs of Atuan,Ursula K. Le Guin,Fiction,short
"Sagwa, The Chinese Siamese Cat",Amy Tan,Juvenile Fiction,short
The Storm,Cynthia Rylant,Juvenile Fiction,short
Voting Rights Days,Ellen Weiss,Juvenile Fiction,short
Counting Christmas,Karen Katz,Juvenile Fiction,short
Who Wants a Cheap Rhinoceros?,Shel Silverstein,Juvenile Fiction,short
"What a Scare, Jesse Bear",Nancy White Carlstrom,Juvenile Fiction,short
The House of the Scorpion,Nancy Farmer,Young Adult Fiction,average
Dragondrums,Anne McCaffrey,Juvenile Fiction,average
Dragonsinger,Anne McCaffrey,Juvenile Fiction,average
"Moo, Baa, la la La!",Sandra Boynton,Animal sounds,short
The Octopus,Cynthia Rylant;Preston McDaniels,Juvenile Fiction,short
The Eagle,Cynthia Rylant;Preston McDaniels,Juvenile Fiction,short
Rash,Pete Hautman,Juvenile Fiction,average
The Children's Homer,Padraic Colum,Juvenile Fiction,average
Invisible,Pete Hautman,Juvenile Fiction,short
Beatrice's Goat,Page McBrier,Juvenile Nonfiction,short
Michael's Golden Rules,Deloris Jordan;Michael Jordan,Juvenile Fiction,short
Amelia's 6th-Grade Notebook,Marissa Moss,Juvenile Fiction,short
The Au Pairs,Melissa de la Cruz,Juvenile Fiction,average
I Love Saturdays y domingos,Alma Flor Ada,Juvenile Fiction,short
Star Bright,Cathy Hapka,Juvenile Nonfiction,short
Alanna,Tamora Pierce,Juvenile Fiction,average
The Woman Who Rides Like a Man,Tamora Pierce,Juvenile Fiction,average
