title,author,genre,length_category
Slouching Toward Nirvana,Charles Bukowski,Poetry,average
Bad Childhood---Good Life,Laura Schlessinger,Self-Help,average
Cat Cross Their Graves,Shirley Rousseau Murphy,Fiction,average
Cat Breaking Free,Shirley Rousseau Murphy,Fiction,average
Slider,Patrick Robinson,Sports & Recreation,long
The Black Dahlia Files,Don Wolfe,True Crime,long
Metro Girl,Janet Evanovich,Fiction,average
Motor Mouth,Janet Evanovich,Fiction,average
Mystic River,Dennis Lehane,Fiction,long
Great Short Works of Herman Melville,Herman Melville,Fiction,long
The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,Juvenile Fiction,short
Eleven Minutes,Paulo Coelho,Fiction,average
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Psychology,long
Ulysses S. Grant,Michael Korda,Biography & Autobiography,short
A Dirty Job,Christopher Moore,Fiction,average
Quicksilver,Neal Stephenson,Fiction,long
Every Book Its Reader,Nicholas A. Basbanes,Literary Criticism,average
Flirting With Danger,Suzanne Enoch,Fiction,average
Lost Horizon,James Hilton,Fiction,average
The Doors of Perception and Heaven and Hell,Aldous Huxley,Philosophy,short
Thanksgiving,Janet Evanovich,Fiction,average
Love Overboard,Janet Evanovich,Fiction,average
Back to the Bedroom,Janet Evanovich,Fiction,average
The Rocky Road to Romance,Janet Evanovich,Fiction,average
Thomas Jefferson,Christopher Hitchens,Biography & Autobiography,short
Muhammad,Karen Armstrong,Biography & Autobiography,average
Meeting Jesus Again for the First Time,Marcus J. Borg,Religion,short
Reading the Bible Again for the First Time,Marcus J. Borg,Religion,average
Shadow of the Almighty,Elisabeth Elliot,Religion,average
The Dance of the Dissident Daughter,Sue Monk Kidd,Religion,average
C.S. Lewis,C. S. Lewis,Religion,short
The Screwtape Letters,C. S. Lewis,Religion,average
Mere Christianity,C. S. Lewis,Religion,average
Learning to Love,Thomas Merton,Religion,average
The Mediator #4: Darkest Hour,Meg Cabot,Juvenile Fiction,average
Cash,Johnny Cash,Biography & Autobiography,average
"The Collected Letters of C.S. Lewis, Volume 1",C. S. Lewis,Biography & Autobiography,long
Touching the Void,Joe Simpson,Sports & Recreation,average
Anybody Out There?,Marian Keyes,Fiction,long
My Little Pony: Hide-and-Seek,Jennifer Frantz,Juvenile Fiction,short
